010100A0.0;A 0.0;Bool;LampGreen
010100A0.1;A 0.1;Bool;LampYellow
010100A0.2;A 0.2;Bool;ReferenzUUT
010100A0.3;A 0.3;Bool;LoadPump
010100A0.4;A 0.4;Bool;LoadHigh
010100A0.5;A 0.5;Bool;LoadLow
010100A0.6;A 0.6;Bool;LampRed
010100A0.7;A 0.7;Bool;KL87_On
010100A1.0;A 1.0;Bool;MUX A0
010100A1.1;A 1.1;Bool;MUX A1
010100A1.2;A 1.2;Bool;MUX A2
010100A1.3;A 1.3;Bool;MUX A3
010100A1.4;A 1.4;Bool;MUX A4
010100A1.5;A 1.5;Bool;MUX A5
010100A1.6;A 1.6;Bool;MUX A6
010100A1.7;A 1.7;Bool;MUX A7
010000A2.0;A 2.0;Bool;UUT_1
010000A2.1;A 2.1;Bool;UUT_2
010000A2.2;A 2.2;Bool;UUT_3
010000A2.3;A 2.3;Bool;UUT_4
010000A2.4;A 2.4;Bool;UUT_5
010000A2.5;A 2.5;Bool;UUT_6
010000A2.6;A 2.6;Bool;UUT_7
010000A2.7;A 2.7;Bool;UUT_8
010100A3.0;A 3.0;Bool;UUT_9
010100A3.1;A 3.1;Bool;UUT_10
010100A3.2;A 3.2;Bool;UUT_11
010100A3.3;A 3.3;Bool;UUT_12
010100A3.4;A 3.4;Bool;UUT_13
010100A3.5;A 3.5;Bool;UUT_14
010100A3.6;A 3.6;Bool;UUT_15
010100A3.7;A 3.7;Bool;UUT_16
010100A4.0;A 4.0;Bool;UUT_17
010100A4.1;A 4.1;Bool;UUT_18
010100A4.2;A 4.2;Bool;UUT_19
010100A4.3;A 4.3;Bool;UUT_20
010100A4.4;A 4.4;Bool;UUT_21
010100A4.5;A 4.5;Bool;UUT_22
010100A4.6;A 4.6;Bool;UUT_23
010100A4.7;A 4.7;Bool;UUT_24
010100A5.0;A 5.0;Bool;UUT_25
010100A5.1;A 5.1;Bool;UUT_26
010100A5.2;A 5.2;Bool;UUT_27
010100A5.3;A 5.3;Bool;UUT_28
010100A5.4;A 5.4;Bool;UUT_29
010100A5.5;A 5.5;Bool;UUT_30
010100A5.6;A 5.6;Bool;UUT_31
010100A5.7;A 5.7;Bool;UUT_32
010100A6.0;A 6.0;Bool;UUT_33
010100A6.1;A 6.1;Bool;UUT_34
010100A6.2;A 6.2;Bool;UUT_35
010100A6.3;A 6.3;Bool;UUT_36
010100A6.4;A 6.4;Bool;UUT_37
010100A6.5;A 6.5;Bool;UUT_38
010100A6.6;A 6.6;Bool;UUT_39
010100A6.7;A 6.7;Bool;UUT_40
010100A7.0;A 7.0;Bool;UUT_41
010100A7.1;A 7.1;Bool;UUT_42
010100A7.2;A 7.2;Bool;UUT_43
010100A7.3;A 7.3;Bool;UUT_44
010100A7.4;A 7.4;Bool;UUT_45
010100A7.5;A 7.5;Bool;UUT_46
010100A7.6;A 7.6;Bool;UUT_47
010100A7.7;A 7.7;Bool;UUT_48
010100E0.0;E 0.0;Bool;SupplyRelais_Row1_OFF
010100E0.1;E 0.1;Bool;SupplyRelais_Row2_OFF
010100E0.2;E 0.2;Bool;SupplyRelais_Row3_OFF
010100E0.3;E 0.3;Bool;Reserve0.3
010100E0.4;E 0.4;Bool;Reserve0.4
010100E0.5;E 0.5;Bool;Reserve0.5
010100E0.6;E 0.6;Bool;Reserve0.6
010100E0.7;E 0.7;Bool;Reserve0.7
